"mcs150_date","add_date","status_code","dot_number","dun_bradstreet_no","phy_omc_region","safety_inv_terr","carrier_operation","business_org_id","mcs150_mileage","mcs150_mileage_year","mcs151_mileage","total_cars","mcs150_update_code_id","prior_revoke_flag","prior_revoke_dot_number","phone","fax","cell_phone","company_officer_1","company_officer_2","business_org_desc","truck_units","power_units","bus_units","fleetsize","review_id","recordable_crash_rate","mail_nationality_indicator","phy_nationality_indicator","phy_barrio","mail_barrio","carship","docket1prefix","docket1","docket2prefix","docket2","docket3prefix","docket3","pointnum","total_intrastate_drivers","mcsipstep","mcsipdate","hm_ind","interstate_beyond_100_miles","interstate_within_100_miles","intrastate_beyond_100_miles","intrastate_within_100_miles","total_cdl","total_drivers","avg_drivers_leased_per_month","classdef","legal_name","dba_name","phy_street","phy_city","phy_country","phy_state","phy_zip","phy_cnty","carrier_mailing_street","carrier_mailing_state","carrier_mailing_city","carrier_mailing_country","carrier_mailing_zip","carrier_mailing_cnty","carrier_mailing_und_date","driver_inter_total","email_address","review_type","review_date","safety_rating","safety_rating_date","undeliv_phy","crgo_genfreight","crgo_household","crgo_metalsheet","crgo_motoveh","crgo_drivetow","crgo_logpole","crgo_bldgmat","crgo_mobilehome","crgo_machlrg","crgo_produce","crgo_liqgas","crgo_intermodal","crgo_passengers","crgo_oilfield","crgo_livestock","crgo_grainfeed","crgo_coalcoke","crgo_meat","crgo_garbage","crgo_usmail","crgo_chem","crgo_drybulk","crgo_coldfood","crgo_beverages","crgo_paperprod","crgo_utility","crgo_farmsupp","crgo_construct","crgo_waterwell","crgo_cargoothr","crgo_cargoothr_desc","owntruck","owntract","owntrail","owncoach","ownschool_1_8","ownschool_9_15","ownschool_16","ownbus_16","ownvan_1_8","ownvan_9_15","ownlimo_1_8","ownlimo_9_15","ownlimo_16","trmtruck","trmtract","trmtrail","trmcoach","trmschool_1_8","trmschool_9_15","trmschool_16","trmbus_16","trmvan_1_8","trmvan_9_15","trmlimo_1_8","trmlimo_9_15","trmlimo_16","trptruck","trptract","trptrail","trpcoach","trpschool_1_8","trpschool_9_15","trpschool_16","trpbus_16","trpvan_1_8","trpvan_9_15","trplimo_1_8","trplimo_9_15","trplimo_16","docket1_status_code","docket2_status_code","docket3_status_code"
,"19870706","I","296849",,"01","V","A","3","0",,"0",,"3",,,,,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,"S","0",,,"N",,,,,,,,"PRIVATE PROPERTY","NICHOLAS FINELLI RIGGING",,"64 HILLMAN AVE","TRENTON","US","NJ","08638","021","64 HILLMAN AVE","NJ","TRENTON","US","08638","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20200529 0000","19870706","I","296850","108230111","03","H","A","3","300000","2018",,,"1","N",,"2152660808","2152880255","6097063556","GADI BARON","MENACHEM PROFETTA","CORPORATION","0","5","5","C",,,,,,,"C","MC","168512",,,,,,"6",,,"N","0","6","0","6","2","12","0","PRIVATE PASSENGER, BUSINESS;LOCAL GOVERNMENT;AUTHORIZED FOR HIRE;FEDERAL GOVERNMENT","BEST LIMOUSINE COMPANY INC","DAVE'S BEST LIMOUSINE COMPANY","3070 BRISTOL PIKE  BLDG 1 SUITE 100 B","BENSALEM","US","PA","19020","017","3070 BRISTOL PIKE  BLDG 1 SUITE 100 B","PA","BENSALEM","US","19020","017",,,"AYELLETYARON@YAHOO.COM","C","19880713",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"A",,
,"19870706","I","296851",,"01",,"A","3","0",,"0",,"3",,,,,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,,"0",,,"N",,,,,,,,"PRIVATE PROPERTY","MILES DIVERSIFIED SERVICES INC",,"47 GENEVATION BLVD","SCARBOROUGH","CA","ON","999999","000","47 GENEVATION BLVD","ON","SCARBOROUGH","CA",,"000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870706","I","296852",,"01","I","A","3","0",,"0",,"3",,,,,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,,"0",,,"N",,,,,,,,"PRIVATE PROPERTY","S C COLUMBUS FRIEGHT INC",,"204 PELLATT AVE","WESTON","CA","ON","M9N 2P6","000","204 PELLATT AVE","ON","WESTON","CA","M9N 2P6","000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870706","I","296854","785008467","03","G","A","3","0",,"725623",,"3",,,"8143554128","8143559511",,,,"CORPORATION","0","27","27","J",,,,,,,"C","MC","166584",,,,,,"0",,,"N","20","16","0","0","0","36","0","OTHER-UNKNOWN","MANSUN NORTH INC",,"651 BENNER PIKE","BELLEFONTE","US","PA","16823","027","651 BENNER PIKE","PA","STATE COLLEGE","US","16804-0589","027",,,,"C","19920123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A",,
"20240617 1609","19870706","A","296855",,"01","I","A","3","1931619","2024",,,"1","N",,"5196222430","5196214467",,"BRAD LICHTY",,"CORPORATION","30","30","0","K","1921721",,,,,,"C","MC","254236",,,,,,"0","0","20150730","Y","30","0","0","0","30","30","0","AUTHORIZED FOR HIRE","PATCO TRANSPORTATION INC",,"9 COCHRAN DRIVE","AYR","CA","ON","N0B 1E0","000","9 COCHRAN DRIVE","ON","AYR","CA","N0B 1E0","000",,"30","BRAD@PATCOTRANSPORTAION.COM","C","19980226","S","19980323",,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"X","OFFICE FURNITURE, CA",,"30","85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A",,
"20010613 0000","19870706","I","296856",,"01","I","A","3","0",,"0",,"2",,,"7169770211",,,,,"CORPORATION","4","4","0","C",,,,,,,"C",,,,,,,,"0","99","20160205","N","4","0","0","0","0","4","0","PRIVATE PROPERTY","SPRUCE FALLS POWER & PAPER CO LTD",,"2 CARLTON ST","TORONTO","CA","ON","L4T 3S8","000","2 CARLTON ST","ON","TORONTO","CA","L4T 3S8","000","20030730",,,,,,,"U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","4",,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870706","I","296857",,"01","I","A","3","0",,"0",,"3",,,,,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,,"0",,,"N",,,,,,,,"PRIVATE PROPERTY","NEW WAYS SYSTEMS",,"1020 BROCK RD -1004","PICKERING","CA","ON","L1W 3H2","000","1020 BROCK RD -1004","ON","PICKERING","CA","L1W 3H2","000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870706","I","296858","148407844","03","H","A","3","0",,"0",,"3",,,"2154928402",,,,,"CORPORATION","0","0","29","0",,,,,,,"C","MC","165805",,,,,,"0",,,"N","0","31","0","0","0","31","0","OTHER-UNKNOWN","PACIFICO LIMOUSINE SERVICE INC",,"6715 ESSINGTON AVE","PHILADELPHIA","US","PA","19153-3407","101","6715 ESSINGTON AVE","PA","PHILADELPHIA","US","19153-3407","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LIMO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A",,
"20250807 1415","19870706","A","296859","808516587","04","I","C","3","4578308","2024",,,"3","N",,"4706066192",,,"COREY BOBO","ROBERT SIEGWORTH","CORPORATION","90","107","17","Q",,,,,,,"C",,,,,,,,"100","0","20101211","N","0","0","0","100","3","100","0","PRIVATE PROPERTY","CLEVELAND ELECTRIC COMPANY",,"260 SIX FLAGS PKWY","AUSTELL","US","GA","30168","067","3715 NORTHSIDE PKWY","GA","ATLANTA","US","30327","121",,"0","rhett.odom@clevelandgroup.com",,,,,,"X",,"X",,,,"X",,,,,,"X",,,,,,,,,,,,,,,"X",,,,"90",,"36",,,,"2",,,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20250210 0000","19870706","A","296860",,"05",,"A","3","2306","2024",,,"3","N",,"6144458446","6144457248",,"STEPHEN MEEKER","KELLY COGGINS-LEWIS","CORPORATION","1","1","0","A",,,,,,,"C",,,,,,,,"0","0","20250311","N","1","0","0","0","0","1","0","PRIVATE PROPERTY","HAMILTON TANKS LLC","HAMILTON TANKS","2200 REFUGEE RD","COLUMBUS","US","OH","43207","049","2200 REFUGEE RD","OH","COLUMBUS","US","43207","049",,"1","rodell@hamiltontanks.com","C","20030124","S","20030124",,,,,,,,,,,,,,,"X",,,,,,,,,,,,,,"X",,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870706","I","296861",,"10","B","A","3","0",,"0",,"3",,,"2062510494",,,,,"CORPORATION","1","1","0","A",,,,,,,"C",,,,,,,,"0",,,"N","3","0","0","0","0","3","0","PRIVATE PROPERTY","INLAND FOUNDRY CO INC",,"UNKNOWN","KENT","US","WA","98032","033","18650 72ND AVE SOUTH","WA","KENT","US","98032","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UNSPECIFIED","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870706","I","296862",,"06",,"A","3","0",,"207459",,"3",,,"5019823997","5019823997",,,,"CORPORATION","3","3","0","B",,,,,,,"C","MC","243444",,,,,,"0",,,"N","0","2","0","0","2","2","0","OTHER-UNKNOWN","MRM TRUCKING",,"2418 SOUTH KERR ROAD","LONOKE","US","AR","72086","085","2418 SOUTH KERR ROAD","AR","LONOKE","US","72086","085",,,,"C","20010111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SAND, GRAVEL, ROCK",,"3","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A",,
"20020405 0000","19870706","I","296863",,"05","E","A","3","0",,"100000",,"1",,,"2166960080",,,,,"CORPORATION","2","2","0","B",,,,,,,"C",,,,,,,"P","0",,,"N","0","1","0","0","1","1","0","PRIVATE PROPERTY","NEWMAN SEAFOODS INC",,"341 S  MAIN STREET","WARREN","US","OH","44481","155","1600 MERWIN AVE","OH","CLEVELAND","US","44113-2422","035",,,,"C","19930526",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870706","I","296864",,"06","H","A","3","0",,"9272678",,"3",,,"7136752800",,,,,"CORPORATION","99","99","0","P",,,,,,,"C",,,,,,,,"0",,,"N","116","0","0","0","0","116","0","OTHER-APPLYING FOR MC","EEX INC",,"UNKNOWN","HOUSTON","US","TX","77013","201","9222 WALLISVILLE ROAD","TX","HOUSTON","US","77013","201",,,,"C","19890213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78","220",,,,,,,,,,,,"21",,,,,,,,,,,,,,,,,,,,,,,,,,,
"20100430 0000","19870706","I","296865","8927022","05","E","A","3","0",,"60000",,"3",,,"5136414500","5134824204",,"CHARLES R MARICLE",,"CORPORATION","1","1","0","A",,,,,,,"C",,,,,,,,"0",,,"N","1","0","0","0","0","1","0","PRIVATE PROPERTY","CINCINNATI FLOOR COMPANY INC",,"5162 BROERMAN AVE","CINCINNATI","US","OH","45217-1140","061","5162 BROERMAN AVE","OH","CINCINNATI","US","45217-1140","061",,,,"S","19870612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20091015 0000","19870707","I","296866",,"01","M","A","3","0",,"0",,"3",,,,,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,,"0",,,"N",,,,,,,,"PRIVATE PROPERTY","DANIEL P FANNING",,"175 HAMILTON-ALLENTOWN RD","WEST KINGSTON","US","RI","02892","009","175 HAMILTON-ALLENTOWN RD","RI","WEST KINGSTON","US","02892","009","20040713",,,,,,,"U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20061027 0000","19870707","I","296867","18567479","01","M","A","3","0",,"0",,"1","N",,"4019461400","4019444912",,"FREDERICK VICARIO",,"CORPORATION","2","2","0","B",,,,,,,"C",,,,,,,,"0","99","20160111","N","1","0","0","0","1","1","0","PRIVATE PROPERTY","UNITA PACKING",,"41 COMSTOCK PKWY","CRANSTON","US","RI","02921","007","41 COMSTOCK PKWY","RI","CRANSTON","US","02921-3402","007",,,"debbie@unitapacking.necoxmail.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870707","I","296868",,"01",,"A","3","0",,"0",,"3",,,,,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,"S","0",,,"N",,,,,,,,"PRIVATE PROPERTY","D M L S CORPORATION",,"UNKNOWN","LAKE GEORGE","US","NY","12845","113","PO BOX 232","NY","LAKE GEORGE","US","12845","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870707","I","296869","119226447","01","F","A","3","0",,"300000",,"3",,,"5187934767",,,,,"CORPORATION","6","6","0","C",,,,,,,"C",,,,,,,,"0",,,"N","0","4","0","0","0","4","0","PRIVATE PROPERTY","BRITTON EXPLOSIVE SUPPLY INC",,"125 CRONIN RD","QUEENSBURY","US","NY","12804-5815","113","125 CRONIN RD","NY","QUEENSBURY","US","12804-5815","113",,,,"S","19871217",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UNSPECIFIED","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870707","I","296870",,"01","U","A","3","0",,"0",,"3",,,,,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,,"0",,,"N",,,,,,,,"PRIVATE PROPERTY","D & G CONTAINER INC OF NJ",,"BLDG 2A-TERMINAL WAY","AVENEL","US","NJ","07001","023","2729 MERCHANT DR","MD","BALTIMORE","US","21230-3308","510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870707","I","296871","153506324","01","S","A","3","0",,"0",,"3",,,,,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,,"0","99","20160111","N",,,,,,,,"PRIVATE PROPERTY","SUPREMA",,"474-RTE 46","SOUTH HACKENSACK","US","NJ","07606","003","PO BOX 280","NJ","PATERSON","US","07543-0280","031","20141217",,,,,,,"U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870707","I","296872",,"01","M","A","3","0",,"0",,"3",,,,,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,,"0",,,"N",,,,,,,,"PRIVATE PROPERTY","RAYMOND R RUDGERS",,"1771 TEN ROD RD","EXETER","US","RI","02822-9998","009","1771 TEN ROD RD","RI","EXETER","US","02822-9998","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20050307 0000","19870707","I","296873",,"05","C","A","3","0",,"0",,"3","N",,"5196271411",,,,,"CORPORATION","2","2","0","B",,,,,,,"C",,,,,,,,"0",,,"N","0","1","0","0","0","1","0","PRIVATE PROPERTY","BURGESS MACHINE & TOOL LTD",,"980 FORHAN ST","WALLACEBURG","CA","ON","CANADA","000","980 FORHAN ST","ON","WALLACEBURG","CA","CANADA","000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20110429 0000","19870707","I","296874",,"01","E","A","3","1","2010","0",,"3",,,"8198256550",,,"JAMES HOOG",,"CORPORATION","20","20","0","I",,,,,,,"C",,,,,,,,"0",,,"N","20","0","0","0","0","20","0","OTHER-APPLYING FOR MC","FORPAN INC",,"CP 5000","VALDOR","CA","QC","J9P 5G6","000","CP 5000","QC","VALDOR","CA","J9P 5G6","000",,,"louis.pairier@uniboard.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UNSPECIFIED",,,,,,,,,,,,,,,,,,,,,,,,,,,,"20",,,,,,,,,,,,,,
,"19870707","I","296875",,"01","V","A","3","0",,"0",,"3",,,"6096468800",,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,"S","0",,,"N",,,,,,,,"PRIVATE PROPERTY","SOUTH JERSEY DISTRIBUTORS CORP",,"CANALE DR  & DEWLAN RD","PLEASANTVILLE","US","NJ","08232","001","PO BOX 826","NJ","PLEASANTVILLE","US","08232","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20120628 0000","19870707","I","296876","174293019","01","I","A","1","10000","2011",,,"1","N",,"5852375349","5852376096","5853708269","IVAN ROBINSON",,"INDIVIDUAL","1","1","0","A",,,,,,,"C","MC","410864",,,,,,"0",,,"N","1","0","0","0","1","1","0","PRIVATE PROPERTY;AUTHORIZED FOR HIRE","IVAN E ROBINSON",,"2440 SILVER LAKE RD","PERRY","US","NY","14530-9622","121","2440 SIVER LAKE RD","NY","PERRY","US","14530-9622","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A",,
"20010725 0000","19870707","I","296877","40750846","01","S","A","3","0",,"0",,"2",,,,,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,,"0","99","20160303","N",,,,,,,,"PRIVATE PROPERTY","HABAND CO INC",,"265 N  9TH ST","PROSPECT PARK","US","NJ","07508","031","265 N  9TH ST","NJ","PROSPECT PARK","US","07508","031","20030806",,,,,,,"U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20050808 0000","19870707","I","296878",,"01","I","A","3","2423094","2005","300000",,"1",,,"9058834091","9058838842",,"JOAN GLEASON","CHRIS GLEASON","CORPORATION","34","34","0","L",,,,,,,"C","MC","215926",,,,,,"0","99","20200401","N","35","0","0","0","35","35","0","AUTHORIZED FOR HIRE","LIONS DELIVERY SERVICE LTD",,"18 GORMLEY INDUSTRIAL AVE","GORMLEY","CA","ON","L0H 1G0","000","PO BOX 307","ON","GORMLEY","CA","L0H 1G0","000","20191115",,,"C","19900430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OEM AUTOMOTIVE PARTS","3","24","54",,,,,,,,,,,,"7",,,,,,,,,,,,,,,,,,,,,,,,,"A",,
,"19870707","I","296879",,"01","I","A","3","0",,"0",,"3",,,,,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,"S","0",,,"N",,,,,,,,"PRIVATE PROPERTY","MONTERAY TRANSPORT LEASING",,"UNKNOWN","NORTH BAY","CA","ON","P1A 1W9","000","32 ROWE AVE","ON","NORTH BAY","CA","P1A 1W9","000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
